userName,score,at,content
MUHAMMAD RIZQY,5,2024-11-01 16:54:34,"Belanja di shopie memang murah serta hemat,tapi ada sebagian toko yg nakal tidak sesuai apa yang yang di pesan,kurirnya juga ramah,dan cepat,semoga shopie kedepan semakin sukses"
Jaka Hermawan,1,2024-11-01 16:44:18,"Males belanja di shopee ada 3-4 x biaya tambahan : Biaya Penanganan, Biaya Pelayanan, Biaya COD, belum lagi kalau top up shope pay udah ke potong admin bank, masih kepotong lagi aja saldo yang masuk, hadeeehhhhh"
Bakti S Situmorang,1,2024-11-01 14:33:44,"Saya merasa kecewa Karena saya udah beberapa kali beli barang dan yg saya dapat cuma hikmah nya doang, karena barang yg saya Terima sering tidak sesuai dan tidak lengkap Saya merasa sistem yang di terapkan untuk para toko masih kurang tegas Kalo seperti ini terus Akan menimbulkan kerugian pada banyak pengguna Shopee. Terutama pengguna baru Saya harap Shopee dapat mengatasi hal seperti ini Shopee harus mempertegas dan memberi sangsi bagi toko yg melakukan kesalahan"
kurijanto yap,5,2024-11-01 14:00:22,Mudah dlm browsing. responsif. variatif dlm pencarian barang. mudah dlm bertransaksi. the best for on line shopping. TAPI Member saya diturunin dari Platinum menjadi Gold Hmmmm ....
Laelatul Khoeriyyah,5,2024-11-01 12:52:25,Aplikasi penyediaan jual beli yg lengkap dan tampilannya paling menarik dibandingkan yg lainnya. Semoga ada bunga 0% terus untuk setiap pembelian cicilannya..
Ahma Rizal,2,2024-11-01 12:36:23,"Sy sudah menjadi pelanggan Shopee lebih dari 7 tahun dan belanja sudah puluhan juta, tapi sy sangat kecewa gara2 dua kali pesanan datang sy tdk berada ditempat sistem COD sy diblokir. Dan sejak itulah sy berhenti menjadi pelanggan shopee. Krn shopee tdk mempertimbangkan pembelanjaan yg sudah begitu banyak."
zul van,1,2024-11-01 08:31:00,"Kurir Pengirim barang dari shope Estimasi waktu semua nya Lebih dari 1 Minggu, padahal Sudah Upgred ke Regular alias Berbayar,., Bukan Yang Gratisan dari Vocer doang . 3 pesanan saya yg 1 pake Spx 15 hari baru sampe, 2 pake jnt expres pengirin Upgrea Ke Regular , estimasi tetap masih harus nunggu 10 Hari kalo nggak di Upgred barang sampai Nanti Tgl 18 , sekarang baru Tgl 1 Oktober, astaga Aneh saja, kalo saya belanja di Tokopedia Cuma Butuh 4 Hari malah ada yang 3 Hari samapai."
Rorona Zoro,3,2024-11-01 06:03:22,"Tolong di perbaiki lagi saya check out barang di tgl 29 Oktober dengan estimasi Tiba tgl 31 oktober-1 November pada saat tgl 30 pesanan tiba"" muncul tulisan selesai dan beri nilai sedangkan yg saya beli belum sampai ke alamat saya"
Lia Polii,1,2024-11-01 05:41:45,"Pengembalian barang dan dananya seakan2 sengaja di persulit sama shopee. Sudah mau 2 minggu pengembalian nya ngk jelas , di hubungi lewat live chat premium selalu di bilang masi dlm investigasi. Hy shopee kalian yg memilih jasa kirimnya , eh barang nya ngk nyampe di saya malah kalian yg menpersulit saya untuk pengembalian barang dan dana nya."
M repky erlangga Erlangga,5,2024-11-01 02:37:45,"Lumayan apk nya, bagus liat penilaiannya dan bintang yg di berikan ke setiap toko bisa di cek mantep jadi bisa lebih teliti lagi sebelum membeli dan pastinya lebih murah dan lebih sering ada free ongkir, dan untuk fitur cod cek dlunya mantap sihh jadi kita nggak khawatir di tipu sama tokonya"
